,distance,number_of_the_match,official_code,official_job_name,matched_Title,matched_Description
1098,155.97,1,27-3099.00,"Media and Communication Workers, All Other",Consultant im agilen Projektmanagement (all genders),
1099,99.10358,1,13-1199.07,Security Management Specialists,Partner Strategy Lead Security,
1100,134.41957,1,43-6013.00,Medical Secretaries and Administrative Assistants,Manager / Agile Coach Medical Engineering (m/w/d) in Nürnberg,
1101,164.19904,1,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Turbonomic Customer Success Manager - Architect (f/m/x),
1102,135.13997,1,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Graduate Area/Shift Manager (m/w/d) - Nordhessen,
1103,104.17753,1,11-9111.00,Medical and Health Services Managers,Postdoc Datasets for Health System Infrastructures and Resources,
1104,161.43155,1,25-9049.00,"Teaching Assistants, All Other",Junior Technical Consultant (all genders),
1105,121.18916,1,29-2011.04,Histotechnologists,"Research Asst., - Electronics Optoelectronics engineer Centre for Quantum",
1106,106.94666,1,17-2199.07,Photonics Engineers,Data Scientist - Quantum,
1107,88.90312,1,15-1243.01,Data Warehousing Specialists,Data Annotator,
1108,162.25894,1,27-3041.00,Editors,Assembleur de jour ou soir,
1109,87.3557,1,15-1252.00,Software Developers,Software Success Engineer,
1110,92.49471,1,11-1011.00,Chief Executives,Chief of Staff,
1111,93.78432,1,13-1111.00,Management Analysts,Strategy Analyst,
1112,239.52716,1,55-2012.00,First-Line Supervisors of Weapons Specialists/Crew Members,September 2023 Start Project Manager Graduate Development Programme (GDP) Weapons,
1113,92.27381,1,43-4051.00,Customer Service Representatives,Customer Acquisition Lead (SE),
1114,117.43805,1,27-3042.00,Technical Writers,Controls Engineer,
1115,106.99202,1,15-2051.00,Data Scientists,AMO Research Scientist,
1116,170.86006,1,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Product Manager R&D - IMA Life North America,
1117,244.4545,1,43-4141.00,New Accounts Clerks,September 2023 Start Software Engineering Graduate Development Programme (GDP),
1118,99.10358,1,13-1199.07,Security Management Specialists,Partner Strategy Lead Security,
1119,99.10358,1,13-1199.07,Security Management Specialists,Partner Strategy Lead Security,
1120,162.94388,1,27-3099.00,"Media and Communication Workers, All Other",eMobility Charging Consultant (all genders),
1121,168.61531,1,27-2012.05,Media Technical Directors/Managers,Manager Immobilien / ESG (m/w/d) in Köln,
1122,225.90656,1,19-1031.02,Range Managers,Manager Immobilien / ESG (m/w/d) in München,
1123,139.2634,1,19-2041.03,Industrial Ecologists,Modern Work Cloud Specialist for Lifesciences and Chemicals,
1124,137.58481,1,15-1243.00,Database Architects,Cloud Solution Architect | Data & Analytics,
1125,144.68135,1,15-1211.01,Health Informatics Specialists,Healthcare Go-To-Market (GTM) Manager,
1126,130.47125,1,19-4099.01,Quality Control Analysts,Output Management Dopix (f/m/x),
