,scrapped_jobs,official_match_title,match_code,distance
242,Professional Research Assistant,Physicists,19-2012.00,144.54346
243,Professional Research Assistant,Astronomers,19-2011.00,147.96591
244,Professional Research Assistant,Telecommunications Engineering Specialists,15-1241.01,158.97617
245,Professional Research Assistant,Remote Sensing Scientists and Technologists,19-2099.01,159.97574
246,Professional Research Assistant,Statisticians,15-2041.00,161.80765
247,Professional Research Assistant,Forensic Science Technicians,19-4092.00,162.70602
248,Professional Research Assistant,Nuclear Monitoring Technicians,19-4051.02,163.10362
249,Professional Research Assistant,Microsystems Engineers,17-2199.06,165.55435
250,"Research Fellow (Ultra-stable Cavities),Centre For Quantum Technologies",Materials Scientists,19-2032.00,180.85071
251,"Research Fellow (Ultra-stable Cavities),Centre For Quantum Technologies",Physicists,19-2012.00,183.61235
252,"Research Fellow (Ultra-stable Cavities),Centre For Quantum Technologies",Astronomers,19-2011.00,188.41037
253,"Research Fellow (Ultra-stable Cavities),Centre For Quantum Technologies",Nanosystems Engineers,17-2199.09,189.16705
254,"Research Fellow (Ultra-stable Cavities),Centre For Quantum Technologies",Statisticians,15-2041.00,192.57368
255,"Research Fellow (Ultra-stable Cavities),Centre For Quantum Technologies",Fuel Cell Engineers,17-2141.01,192.83397
256,"Research Fellow (Ultra-stable Cavities),Centre For Quantum Technologies","Electronics Engineers, Except Computer",17-2072.00,196.42365
257,"Research Fellow (Ultra-stable Cavities),Centre For Quantum Technologies",Photonics Technicians,17-3029.08,196.63742
258,"Research Fellow (Ultra-stable Cavities),Centre For Quantum Technologies",Quality Control Analysts,19-4099.01,197.88
259,"Research Fellow (Ultra-stable Cavities),Centre For Quantum Technologies",Chemical Technicians,19-4031.00,198.74075
260,Research Scientist – Responsible Technology,Telecommunications Engineering Specialists,15-1241.01,122.8256
261,Research Scientist – Responsible Technology,Web Developers,15-1254.00,128.36212
262,Research Scientist – Responsible Technology,Statisticians,15-2041.00,128.70053
263,Research Scientist – Responsible Technology,Materials Scientists,19-2032.00,131.82259
264,Research Scientist – Responsible Technology,Biostatisticians,15-2041.01,138.23586
265,Research Scientist – Responsible Technology,Network and Computer Systems Administrators,15-1244.00,139.77707
266,Research Scientist – Responsible Technology,Bioinformatics Scientists,19-1029.01,140.96564
267,Research Scientist – Responsible Technology,Nanosystems Engineers,17-2199.09,141.10031
268,Research Scientist – Responsible Technology,Computer Network Architects,15-1241.00,141.39102
269,Research Scientist – Responsible Technology,Computer Systems Engineers/Architects,15-1299.08,142.91089
270,"Science & Technology Researchers, Engineers & Managers",Materials Scientists,19-2032.00,150.27519
271,"Science & Technology Researchers, Engineers & Managers",Telecommunications Engineering Specialists,15-1241.01,151.22359
272,"Science & Technology Researchers, Engineers & Managers",Physicists,19-2012.00,151.65187
273,"Science & Technology Researchers, Engineers & Managers",Forensic Science Technicians,19-4092.00,157.36826
274,"Science & Technology Researchers, Engineers & Managers",Astronomers,19-2011.00,161.7912
275,"Science & Technology Researchers, Engineers & Managers",Nanosystems Engineers,17-2199.09,166.83536
276,"Science & Technology Researchers, Engineers & Managers",Web Administrators,15-1299.01,168.16333
277,"Science & Technology Researchers, Engineers & Managers",Statisticians,15-2041.00,170.25662
278,"Science & Technology Researchers, Engineers & Managers",Computer Network Architects,15-1241.00,172.34018
279,"Science & Technology Researchers, Engineers & Managers",Biostatisticians,15-2041.01,173.9315
280,AI powered Business Automation-Student Position- Research Lab,Computer and Information Research Scientists,15-1221.00,122.3907
281,AI powered Business Automation-Student Position- Research Lab,"Computer Science Teachers, Postsecondary",25-1021.00,126.88692
282,AI powered Business Automation-Student Position- Research Lab,Materials Scientists,19-2032.00,127.56732
283,AI powered Business Automation-Student Position- Research Lab,Web Developers,15-1254.00,129.45044
284,AI powered Business Automation-Student Position- Research Lab,"Psychology Teachers, Postsecondary",25-1066.00,129.94922
285,AI powered Business Automation-Student Position- Research Lab,"Forestry and Conservation Science Teachers, Postsecondary",25-1043.00,131.09503
286,AI powered Business Automation-Student Position- Research Lab,"Agricultural Sciences Teachers, Postsecondary",25-1041.00,131.1413
287,AI powered Business Automation-Student Position- Research Lab,"Recreation and Fitness Studies Teachers, Postsecondary",25-1193.00,131.35698
288,AI powered Business Automation-Student Position- Research Lab,"Health Specialties Teachers, Postsecondary",25-1071.00,131.90231
289,AI powered Business Automation-Student Position- Research Lab,"Engineering Teachers, Postsecondary",25-1032.00,132.19206
290,Research Fellow (Microfabricated Optical Clocks) Centre for Quantum Technologies,Materials Scientists,19-2032.00,180.85071
291,Research Fellow (Microfabricated Optical Clocks) Centre for Quantum Technologies,Physicists,19-2012.00,183.61235
