,countRef,openDate,sector,europages,company_class_1,employer,employerType,jobTitle,type,countries
223,224,20211219,an exempt charity and a common law corporation,,university,university of cambridge,U,mres+phd phd studentships (fixed term),A,GB
224,225,20211001,"a leading global provider of audit and assurance, consulting, financial advisory, risk advisory, tax, and related services",,company,deloitte,O,(senior) consultant (m/w/d) the garage - quantum.link - schwerpunkt kryptographie,A,DE
225,226,20211005,,,university,university of oxford,U,"technology associate, qcs hub",A,GB
226,227,20210904,a technology company,,company,ibm,O,internship/praktikum: software und system performance analyst (m/w/x),I,DE
227,228,20210921,symmetric encryption reborn for the cloud,category other,,arqit limited,O,ogr systems engineer,A,GB
228,229,20220208,,,,instadeep,O,research intern (quantum ml),I,GB
229,230,20220201,,,university,university of southampton,U,research fellow in solid-state quantum memories,A,GB
230,231,20220803,an international pioneer in the aerospace industry,category other,,airbus,O,phd thesis: quantum information networks (d/f/m),A,DE
231,232,20210505,research universities,,university,universitt freiburg,U,lecturer (akad. rat*rtin auf zeit; w/m/d).,F,DE
232,233,20220827,a research institute of the Bavarian Academy of Sciences and Humanities (BAdW),Manufacturer/ Producer,,walther meissner institute,O,team lead – quantum computing demonstrator (m/f/d),A,DE
233,234,20220324,research and development organization,,,fraunhofer-gesellschaft (fraunhofer society),O,doctoral student in quanutm image processing,A,DE
234,235,20210212,quantum computing hardware company,,company,iqm,O,"senior quantum software engineer - munich, germany (m/f/d)",A,DE
235,236,20210416,,,,dlr-(german aerospace center)deutsches zentrum fr luft- und raumfahrt,O,group management - execution environments for ai-based applications,A,DE
236,237,20201216,independent quantum computing company,,company,cambridge quantum computing,O,quantum business development & product lead,A,GB
237,238,20211021,"a technology company focused on industry, infrastructure, transport, and healthcare",,company,siemens ag,O,senior cyber security architect (f/m/d) public key infrastructure,A,DE
238,239,20210313,a quantum computing hardware and software company,,company,oxford quantum circuits,O,fpga engineer,A,GB
239,240,20220312,,,university,university of southampton,U,research fellow in nonlinear micro-resonators and terahertz spectroscopy,A,GB
240,241,20211103,a quantum computing hardware and software company,,company,oxford quantum circuits,O,qcaas cloud infrastructure and devops engineer,A,GB
241,242,20210917,a venture-backed Australian-German quantum computing hardware company,,company,quantum brilliance,O,accountant,A,DE
242,243,20210716,,Manufacturer/ Producer,,bayer,O,research scientist quantum computing (m/w/d),A,DE
243,244,20220716,,Manufacturer/ Producer,,atos,O,teamlead quantum (m/w/d),A,DE
244,245,20211217,,Service Provider,,julich supercomputing centre / forschungszentrum julich,O,phd position - nanoscale charge transport measurements of quantum materials with a multi-tip stm,A,DE
245,246,20220706,a cutting edge technology company,,company,quantum detectors,O,research & development engineer,A,GB
246,247,20211117,measurement standards laboratory of India,,,council of scientific and industrial research–national physical laboratory (csir–npl),O,higher research scientist - quantum & 2d material measurement & characterisation,A,GB
247,248,20210311,chemical company,,company,basf,O,working student software programming (m/f/d),A,DE
248,249,20211126,research university,,university,technical university of braunschweig,U,w2 professorship for cryogenic electronic quantum devices,F,DE
249,250,20220415,independent quantum computing company,,company,cambridge quantum computing,O,"research assistant, natural language processing (nlp) / machine learning (m",A,GB
250,251,20210603,,Service Provider,,julich supercomputing centre / forschungszentrum julich,O,phd position - study of spin and charge excitations in artificially created nanostructures using an ultra-low temperature spm in high magnetic fields,A,DE
251,252,20211001,a research institute of the Max Planck Society,,,max planck institute for chemical physics of solids,O,phd positions in quantum materials research,A,DE
